value,params_backbone,params_batch_size,params_center_crop_key,params_coreset_sampling_ratio,params_image_size_key,params_layers_key,params_max_patches_per_image,params_num_neighbors,params_pre_trained,params_reduction,params_soft_corruption_level,params_soft_review_budget,params_soft_train_fraction
0.799410029498525,resnet34,16,0.875,0.079,256,l3,1024,5,True,max,strong,0.435,0.87
0.8057040998217468,resnet34,16,0.875,0.073,256,l3,1024,3,True,max,strong,0.3,0.8
0.10062893081761007,resnet34,16,0.875,0.073,256,l3,1024,1,True,max,strong,0.02,0.8
0.8092691622103387,resnet34,16,0.875,0.081,256,l3,1024,3,True,max,strong,0.3,0.82
0.803680981595092,resnet34,16,0.875,0.081,256,l3,1024,3,True,max,strong,0.405,0.82
0.8128342245989305,resnet34,16,0.875,0.077,256,l3,1024,2,True,max,strong,0.3,0.85
0.3268698060941828,resnet34,16,0.875,0.083,256,l3,1024,2,True,max,strong,0.07,0.86
0.7843137254901961,resnet34,16,0.875,0.077,256,l3,1024,6,True,max,strong,0.3,0.85
0.5183374083129584,resnet34,16,0.875,0.075,256,l3,1024,2,True,max,strong,0.125,0.84
0.7868383404864091,resnet34,16,0.875,0.085,256,l3,1024,5,True,max,strong,0.46,0.82
0.5639810426540285,resnet34,16,0.875,0.081,256,l3,1024,2,True,max,strong,0.14,0.9
0.7080745341614907,resnet34,16,0.875,0.065,256,l3,1024,4,True,max,strong,0.21,0.88
0.07643312101910828,resnet34,16,0.875,0.079,256,l3,1024,1,True,max,strong,0.015,0.83
0.8021390374331551,resnet34,16,0.875,0.073,256,l3,1024,3,True,max,strong,0.3,0.8
0.1529051987767584,resnet34,16,0.875,0.071,256,l3,1024,3,True,max,strong,0.03,0.8
0.7606679035250464,resnet34,16,0.875,0.075,256,l3,1024,3,True,max,strong,0.275,0.85
0.49382716049382713,resnet34,16,0.875,0.071,256,l3,1024,5,True,max,strong,0.12,0.82
0.8092691622103387,resnet34,16,0.875,0.077,256,l3,1024,3,True,max,strong,0.3,0.91
0.4177545691906005,resnet34,16,0.875,0.077,256,l3,1024,4,True,max,strong,0.095,0.91
0.6666666666666666,resnet34,16,0.875,0.075,256,l3,1024,4,True,max,strong,0.19,0.88
0.8201892744479495,resnet34,16,0.875,0.077,256,l3,1024,2,True,max,strong,0.385,0.87
0.8233438485804416,resnet34,16,0.875,0.081,256,l3,1024,2,True,max,strong,0.385,0.87
0.8264984227129337,resnet34,16,0.875,0.081,256,l3,1024,1,True,max,strong,0.385,0.86
0.7949790794979079,resnet34,16,0.875,0.081,256,l3,1024,1,True,max,strong,0.48,0.87
0.794425087108014,resnet34,16,0.875,0.085,256,l3,1024,2,True,max,strong,0.315,0.86
0.8035398230088495,resnet34,16,0.875,0.079,256,l3,1024,2,True,max,strong,0.305,0.84
